391_21,21.0,278.57,-65.22,416.0,134.0,329.88,-22.71,475429418,476034218,4.29,228.71,296.0,1.0,3.00825047493,-0.849076449871,51.9,1.0,none,3FGL J1831.6-6503,none,13.85,3.72,273.92,-63.62,330.84,-20.31,1.191,-1.0,52.13,1.05,3.76,0.0,17.07,17.02,4.879,-5.0,0.01,4.76,2.18,279.42,-66.68,328.44,-23.43,2.778,-3.0,52.8,0.15,0.79,0.0,3.84,4.81,0.091,0.095,-1.26,0.62,278.57,-65.22,0.8,fava,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_22,22.0,84.35,19.83,672.0,162.0,186.77,-6.38,475429418,476034218,-5.14,640.26,514.0,6.0,3.0810008049,1.77731096745,135.78,1.0,none,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,84.35,19.83,0.8,fava,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_23,23.0,338.51,11.47,235.0,99.0,77.57,-39.01,475429418,476034218,26.23,157.34,587.0,86.0,3.77765631676,19.4370708466,39.98,1.0,none,3FGL J2232.5+1143,CTA 102,887.71,29.79,338.1,11.72,77.38,-38.56,0.171,1.0,39.89,3.0,26.85,0.94,903.82,226.7,13.62,-2.24,0.09,450.21,21.22,338.14,11.71,77.41,-38.58,0.043,1.0,39.91,1.05,19.16,0.61,0.04,465.7,17.33,1.704,-2.25,0.13,338.14,11.71,0.043,high,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_24,24.0,281.83,33.11,239.0,211.0,62.71,15.22,475429418,476034218,4.17,178.18,236.0,15.0,3.93897461891,4.46261930466,58.36,1.0,none,3FGL J1848.6+3232,none,48.39,6.96,281.95,32.58,62.24,14.92,0.459,1.0,57.86,3.0,4.44,0.09,49.26,32.42,7.388,-2.07,0.32,33.58,5.8,282.13,32.75,62.48,14.84,0.209,1.0,57.92,1.15,3.25,0.02,0.24,33.99,2.554,0.735,-2.43,0.35,282.13,32.75,0.209,high,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_25,25.0,353.13,-49.31,389.0,59.0,332.06,-63.11,475429418,476034218,-7.22,156.94,75.0,0.0,4.31431007385,-2.21512413025,45.87,1.0,none,3FGL J2329.3-4955,PKS 2326-502,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,353.13,-49.31,0.8,fava,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_26,26.0,186.87,21.85,392.0,334.0,255.71,82.41,475429418,476034218,-10.0,184.27,81.0,1.0,5.22847652435,-1.83308255672,127.82,1.0,none,3FGL J1224.9+2122,4C +21.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,186.87,21.85,0.8,fava,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_27,27.0,249.19,-22.56,367.0,212.0,356.13,16.3,475429418,476034218,-4.13,403.71,323.0,7.0,5.74583864212,0.766023278236,57.94,1.0,none,None,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,249.19,-22.56,0.8,fava,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_28,28.0,229.26,-9.0,372.0,257.0,352.37,39.51,475429418,476034218,-10.0,351.22,173.0,2.0,6.4984869957,-1.71596717834,79.63,1.0,none,3FGL J1512.8-0906,PKS 1510-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,229.26,-9.0,0.8,fava,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_29,29.0,40.12,16.72,129.0,85.0,157.18,-38.79,475429418,476034218,4.54,123.78,177.0,21.0,6.57352304459,4.64552640915,94.12,1.0,none,3FGL J0238.6+1636,AO 0235+164,26.92,5.19,39.74,16.42,156.99,-39.24,0.488,1.0,93.69,3.15,4.45,0.0,27.14,24.24,6.368,-2.15,0.36,21.22,4.61,39.77,16.61,156.89,-39.06,0.21,1.0,93.77,1.25,2.93,0.0,0.19,21.4,2.923,0.898,-2.44,0.41,39.77,16.61,0.21,high,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_30,30.0,5.99,73.38,132.0,204.0,120.94,10.61,475429418,476034218,6.35,361.38,488.0,29.0,6.87813091278,6.42426633835,98.06,1.0,none,None,None,69.94,8.36,4.3,73.62,120.48,10.91,0.301,1.0,97.84,3.0,7.05,0.16,73.27,37.49,6.418,-2.31,0.25,63.31,7.96,5.21,73.37,120.71,10.63,0.129,1.0,97.89,1.25,3.66,0.07,0.36,63.41,2.844,0.686,-2.9,0.42,5.21,73.37,0.129,high,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_31,31.0,331.0,42.56,181.0,157.0,92.95,-10.36,475429418,476034218,2.48,225.39,263.0,34.0,11.9100704193,5.35048437119,63.31,1.0,none,3FGL J2202.7+4217,BL Lacertae,15.17,3.9,330.71,42.59,92.8,-10.21,0.764,1.0,63.25,3.3,2.25,0.0,15.36,14.55,6.646,-1.5,0.61,28.23,5.31,330.69,42.23,92.57,-10.48,0.143,1.0,62.92,1.1,4.78,0.0,0.36,28.45,3.99,1.026,-2.31,0.29,331.0,42.56,0.8,fava,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_32,32.0,216.52,-41.92,434.0,215.0,321.19,17.57,475429418,476034218,7.65,268.9,403.0,47.0,13.3515253067,7.26520681381,81.41,1.0,none,3FGL J1427.9-4206,PKS B1424-418,106.0,10.3,216.79,-42.0,321.35,17.42,0.257,1.0,81.2,3.45,7.65,0.13,107.53,41.13,6.456,-1.54,0.22,48.41,6.96,216.92,-42.04,321.43,17.34,0.137,1.0,81.09,1.3,7.27,0.03,0.11,48.76,5.062,1.027,-2.42,0.26,216.92,-42.04,0.137,high,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_33,33.0,226.57,10.49,344.0,284.0,11.8,54.2,475429418,476034218,9.01,189.66,326.0,35.0,14.7946891785,4.59023857117,88.23,1.0,none,3FGL J1504.4+1029,PKS 1502+106,95.16,9.75,226.1,10.61,11.54,54.65,0.303,1.0,88.71,3.0,8.73,0.37,102.76,61.17,8.233,-2.42,0.22,21.84,4.67,225.99,10.59,11.41,54.72,0.144,1.0,88.8,0.95,3.77,0.0,0.11,22.06,3.319,0.97,-2.52,0.35,225.99,10.59,0.144,high,391,Mon 25 Jan 2016,Mon 01 Feb 2016
391_34,34.0,49.44,41.17,87.0,145.0,150.44,-13.76,475429418,476034218,4.75,222.24,296.0,16.0,14.9650163651,0.432961970568,107.85,1.0,none,3FGL J0316.6+4119,IC 310,27.84,5.28,49.43,41.71,150.13,-13.31,0.858,1.0,107.93,3.0,3.61,0.01,30.07,25.02,5.781,-2.56,0.37,5.98,2.45,49.69,41.31,150.52,-13.53,0.91,-2.0,108.06,1.25,0.13,0.0,0.44,5.99,0.574,0.521,-1.87,0.6,49.44,41.17,0.8,fava,391,Mon 25 Jan 2016,Mon 01 Feb 2016
